itemno,wordA,wordB,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,preparation.started,preparation.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,cue_resp.rt,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,20.080575585830957,None,4,14.412444493267685,20.080575585830957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
1,bagoly,kirakó,0,0,0,0,,,,,,,,,,,34.51903049275279,None,38.54568624543026,None,39.54421891598031,None,41.531146998517215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
2,kötény,tisztás,0,1,1,1,,,,,,,,,,,,,45.52837872877717,None,46.54397508688271,None,48.53436933737248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
3,hárfa,elefánt,0,2,2,2,,,,,,,,,,,,,52.52940100757405,None,53.54402018291876,None,55.53356414148584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
4,fogó,limonádé,0,3,3,3,,,,,,,,,,,,,59.527455039322376,None,60.54445839114487,None,62.533030765131116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
5,mocsár,ananász,0,4,4,4,,,,,,,,,,,,,66.52549787471071,None,67.53327086241916,None,69.51379096508026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
6,karton,hentes,0,5,5,5,,,,,,,,,,,,,73.52736329240724,None,74.53845596406609,None,76.51280196383595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
7,menta,triatlon,0,6,6,6,,,,,,,,,,,,,80.52791843889281,None,81.54069054638967,None,83.5172375398688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
8,pelikán,kakaó,0,7,7,7,,,,,,,,,,,,,87.5270485538058,None,88.53401012485847,None,90.5335856010206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
9,csavarhúzó,hering,0,8,8,8,,,,,,,,,,,,,94.52695462945849,None,95.5373142589815,None,97.528098823037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
10,szalvéta,puska,0,9,9,9,,,,,,,,,,,,,101.5275020012632,None,102.53476276108995,None,104.51648023864254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
11,szilva,kecske,0,10,10,10,,,,,,,,,,,,,108.53251542756334,None,109.54114990308881,None,111.52521796897054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
12,koktél,tolltartó,0,11,11,11,,,,,,,,,,,,,115.52449083561078,None,116.53103503584862,None,118.51676823105663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
13,tenisz,pizsama,0,12,12,12,,,,,,,,,,,,,122.52902686642483,None,123.53672365751117,None,125.52823939779773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
14,lándzsa,fénymásoló,0,13,13,13,,,,,,,,,,,,,129.52859798818827,None,130.53865749621764,None,132.52785499347374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
15,málna,dominó,0,14,14,14,,,,,,,,,,,,,136.5290399286896,None,137.53656535502523,None,139.5167253119871,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
,,,,,,,,,,,,,,,,,,,,,,,,,143.5277800410986,None,u,8.145988357253373,143.5277800410986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.71124842390418,None,4,7.058383711148053,151.71124842390418,None,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
14,lándzsa,fénymásoló,,,,,0,0,0,13,,,,,,,158.8136342796497,None,162.8421461195685,None,,,,,,,,,,,,,,,,,lándzsa,163.8487173775211,None,None,163.8487173775211,None,163.8487173775211,None,163.8487173775211,None," 
",178.82471731025726,None,178.82471731025726,None,return,10.224586252123117,178.82471731025726,None,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
15,málna,dominó,,,,,0,1,1,14,,,,,,,,,189.10951226064935,None,,,,,,,,,,,,,,,,,dominó,190.12514873873442,None,4,190.12514873873442,None,190.12514873873442,None,190.12514873873442,None, málna,194.15358531475067,None,194.15358531475067,None,return,2.5916719902306795,194.15358531475067,None,3.961386044509709,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
10,szalvéta,puska,,,,,0,2,2,9,,,,,,,,,196.77515778923407,None,,,,,,,,,,,,,,,,,puska,197.78373846085742,None,None,197.78373846085742,None,197.78373846085742,None,197.78373846085742,None," 
",212.78338142530993,None,212.78338142530993,None,return,1.929723707959056,212.78338142530993,None,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
7,menta,triatlon,,,,,0,3,3,6,,,,,,,,,214.74407361401245,None,,,,,,,,,,,,,,,,,menta,215.76064870972186,None,None,215.76064870972186,None,215.76064870972186,None,215.76064870972186,None," 
",230.7645496656187,None,230.7645496656187,None,return,11.468597354367375,230.7645496656187,None,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
6,karton,hentes,,,,,0,4,4,5,,,,,,,,,242.2628941773437,None,,,,,,,,,,,,,,,,,hentes,243.28264091862366,None,None,243.28264091862366,None,243.28264091862366,None,243.28264091862366,None," 

",258.27662014216185,None,258.27662014216185,None,return,1.6197991147637367,258.27662014216185,None,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
1,bagoly,kirakó,,,,,0,5,5,0,,,,,,,,,259.934177943971,None,,,,,,,,,,,,,,,,,kirakó,260.9583098781295,None,None,260.9583098781295,None,260.9583098781295,None,260.9583098781295,None, ,275.94303043559194,None,275.94303043559194,None,return,1.713675208389759,275.94303043559194,None,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
13,tenisz,pizsama,,,,,0,6,6,12,,,,,,,,,277.69213644694537,None,,,,,,,,,,,,,,,,,tenisz,278.70155963581055,None,4,278.70155963581055,None,278.70155963581055,None,278.70155963581055,None," pizsama
",287.30405216664076,None,287.30405216664076,None,return,4.719982421956956,287.30405216664076,None,8.566937947645783,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
11,szilva,kecske,,,,,0,7,7,10,,,,,,,,,292.06789957964793,None,,,,,,,,,,,,,,,,,kecske,293.07663326663896,None,None,293.07663326663896,None,293.07663326663896,None,293.07663326663896,None," 
",308.081888966728,None,308.081888966728,None,return,1.6060644420795143,308.081888966728,None,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
4,fogó,limonádé,,,,,0,8,8,3,,,,,,,,,309.7318865098059,None,,,,,,,,,,,,,,,,,limonádé,310.7557715047151,None,None,310.7557715047151,None,310.7557715047151,None,310.7557715047151,None, ,325.7429182245396,None,325.7429182245396,None,return,2.824906402733177,325.7429182245396,None,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
3,hárfa,elefánt,,,,,0,9,9,2,,,,,,,,,328.60359287215397,None,,,,,,,,,,,,,,,,,hárfa,329.62388356402516,None,4,329.62388356402516,None,329.62388356402516,None,329.62388356402516,None, elefánt,332.27723158104345,None,332.27723158104345,None,return,4.098991841077805,332.27723158104345,None,2.616072944831103,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
2,kötény,tisztás,,,,,0,10,10,1,,,,,,,,,336.4120414284989,None,,,,,,,,,,,,,,,,,tisztás,337.43495608260855,None,None,337.43495608260855,None,337.43495608260855,None,337.43495608260855,None," 

",352.43270874908194,None,352.43270874908194,None,return,1.9108123304322362,352.43270874908194,None,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
8,pelikán,kakaó,,,,,0,11,11,7,,,,,,,,,354.38637312175706,None,,,,,,,,,,,,,,,,,kakaó,355.4061316815205,None,None,355.4061316815205,None,355.4061316815205,None,355.4061316815205,None," 
",370.4135323939845,None,370.4135323939845,None,return,1.561614758335054,370.4135323939845,None,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
5,mocsár,ananász,,,,,0,12,12,4,,,,,,,,,372.0099204881117,None,,,,,,,,,,,,,,,,,mocsár,373.0326846148819,None,None,373.0326846148819,None,373.0326846148819,None,373.0326846148819,None, ,388.0363479615189,None,388.0363479615189,None,return,5.170980846509337,388.0363479615189,None,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
12,koktél,tolltartó,,,,,0,13,13,11,,,,,,,,,393.2274736375548,None,,,,,,,,,,,,,,,,,tolltartó,394.25524776941165,None,None,394.25524776941165,None,394.25524776941165,None,394.25524776941165,None," 
",409.2447593836114,None,409.2447593836114,None,return,1.5140397702343762,409.2447593836114,None,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
9,csavarhúzó,hering,,,,,0,14,14,8,,,,,,,,,410.7866003434174,None,,,,,,,,,,,,,,,,,csavarhúzó,411.80371410259977,None,None,411.80371410259977,None,411.80371410259977,None,411.80371410259977,None," 

",426.79988685576245,None,426.79988685576245,None,return,4.662681013345718,426.79988685576245,None,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.5031906166114,None,,,,,,
